Guid	Qcate	Q	A	Keywords_A	Output_conf	Output
1d4796f5-ef71-4165-931d-1b035e9610cf	text	Which bodies of water are the Janaria and Labidochirus splendescens native to?	["The Janaria and Labidochirus splendescens are both native to the Pacific Ocean.", "\"Janaria and Labidochirus splendescens are both native to the Pacific Ocean.\"", "\"Janaria and Labidochirus splendescens are native to the Pacific Ocean.\"", "\"The Janaria and Labidochirus splendescens native to the Pacific Ocean\"", "\"The Janaria and Labidochirus splendescens are native to the Pacific Ocean.\""]	"Pacific Ocean"	1	["LabLabidochirus is a species of hermit crab found in the northeastern Pacific Ocean off the coast of North America"]
0662bc8f-0b08-451b-88d9-1f7f7099265d	text	Were Cerdanya and Urgell still united when Wilfred was Count of Cerdanya?	["No, Cerdanya and Urgell remained united until 897 and Wilfred was was the Count of Cerdanya from 988 until 1035.", "\"No, Cerdanya and Urgell were no longer united when Wilfred was Count of Cerdanya.\"", "\"No, Cerdanya and Urgell were not united when Wilfred was Count of Cerdanya.\"", "\"No, Cerdanya and Urgell were only united until 897, and Wilfred didn't become Count of Cerdanya until 988.\"", "\"No, after 897 Cerdanya and Urgell were no longer united, so they were separate in 998 when Wilfred became Count of Cerdanya.\"", "\"No, they were no longer united at that time.\""]	"No"	1	["AtAt this date, Cerdanya was part of the Kingdom of Aquitaine until the kingdom of the Principality of the County of Aragon until 817. Wifred or Wilfred ( Catalan: Guifr\u00e9, Spanish: Vifredo or Wifredo) ( c. 970 \u2013 1050) was"]
4bfb59e4-e654-4e11-91ea-0ce4a72553fb	text	The sides (lateral) and undersurface (ventral) of the tongue are high risk sites for the development of a type of cancer strongly associated with what two types of substance abuse?	["Tobacco and heavy alcohol use.", "\"The sides and undersurface of the tongue are high risk for the development of oral cancer due to Tobacco or alcohol substance abuse.\"", "\"The sides (lateral) and undersurface (ventral) of the tongue are high risk sites for the development of a type of cancer strongly associated with chewing and dipping tobacco, and alcohol use.\"", "\"The sides (lateral) and undersurface (ventral) of the tongue are high risk sites for the development of a type of cancer strongly associated with tobacco and alcohol abuse.\"", "\"Cancers of the mouth are strongly associated with tobacco use, especially use of chewing tobacco or dipping tobacco, as well as heavy alcohol use.\"", "\"They are at risk for mouth cancers that are strongly associated with either tobacco or alcohol abuse.\""]	"tobacco and alcohol"	1	["The of the tongue. Motor neuron disease (Lou Gehrig's disease) can cause impaired control of tongue movement, affecting speech and swallowing. Cancers of the mouth are strongly associated with tobacco use, especially use of chewing tobacco or dipping tobacco, as well as heavy alcohol use.The sides (lateral) and undersurface (ventral) of the tongues are high risk sites for the development of oral cancer, most commonly squamous cell carcinoma."]
a3cd8d66-9d17-45f8-8a76-6bfc3b0e499d	text	In which country can you find both Darling Downs and New South Wales?	["Darling Downs and New South Wales are in Australia.", "\"You find both Darling Downs and New South Wales in Australia.\"", "\"They're in Australia.\"", "\"You can find both Darling Downs and New South Wales in Australia.\"", "\"You can find Darling Downs and New South Wales in Australia.\"", "\"It says that The Darling Downs is a farming region on the western slopes of the Great Dividing Range in southern Queensland, Australia. And it says New South Wales, Australia. The common factor is Australia.\""]	"Australia"	1	["The is one of the largest ranges in the world.The Darling Downs is a farming region on the western slopes of the Great Dividing Range in southern Queensland, Australia. The Downs are to the west of South East Queensland and are one of Australia's major regions of Queensland. The Southeast Australia temperate savanna ecoregion is a large area of grassland dotted with eucalyptus trees running north\u2013south across central New South Wales, Australia. In which country can"]
3741bb2b-3386-46d7-9891-2e01b8ab83fc	text	Into what do the disks of all classes of enoyl-CoA isomerases dimerized?	["Hexamers.", "\"The enzymes of the hydratase / isomerase or crotonase superfamily are typically trimeric disks dimerized into hexamers.\"", "\"The disks of all classes of enoyl-CoA isomerases are dimerized into hexamers.\"", "\"All classes of enoyl-CoA isomerases dimerized into hexamers.\"", "\"All classes of enoyl-CoA isomerases dimerized into hexamers\""]	"hexamers"	1	["All isomerase.All classes of enoyl-CoA isomerases belong to the family of hydratases, the hydratinase or crotonase superfamily, and when examined with x-ray crystallography, exhibit a common structural feature of the family, the N-terminal core with a spiral fold composed of four turns, each turn consisting of two beta-sheets and one alpha-helix. Their relative locations on the enzyme can be compared in"]
3c92fe6f-7e86-4071-809a-521ee6c15c47	text	What symptoms might you experience after contact with a bug from the Phlebotominae family?	["You might experience myalgia, fever and elevated liver enzymes.", "\"Sandfly fever induces myalgia, fever, and elevated liver enzymes in humans.\"", "\"After contact with a bug from the Phlebotominae family you might experience myalgia, fever, and elevated liver enzymes in humans.\"", "\"You might experience myalgia, fever, and elevated liver enzymes after contact with a bug from the Phlebotominae family.\"", "\"You might experience myalgia, fever, and elevated liver enyzmes after contact with a bug from the Phlebotominae family.\"", "\"You might experience myalgia, fever, and elevated liver enzymes after after contact with a bug from the Phlebotominae family.\""]	"myalgia, fever, elevated liver enzymes"	1	["SomeSome sandfly genera of the subfamily Phlebotominae are the primary vectors of leishmaniasis and pappataci fever; both diseases are confusingly referred to as sandfly fever. The SFNV serogroup consists of two main serocom"]
81764f18-a9d5-4640-a11b-b6d5f1ee64d3	text	What unique color are the deer weighing normally 125 to 301 pounds, that can be found in New York?	["A population of white tailed deer are white in New York.", "\"It says that the white-tailed deer normally weighs 125-301 pounds. It also says that there is a population of the dder in New York that is entirely white in color. The answer is white.\"", "\"There's a population of white deer in New York.\"", "\"The deer weighing normally 125 to 301 pounds, that can be found in New York, can be recognized by the characteristic white underside to its tail.\"", "\"The white tailed deer are the deer weighing normally 125 to 301 pounds, that can be found in New York\""]	"White"	1	["TheThe white-tailed deer is one of the largest deer species in the United States. The deer can be recognized by the characteristic white underside to its tail. It raises its tail when it is alarmed to warn the predator that it has been detected.The white deer is normally between around 57 and 137 kilograms (125 to 301 pounds) in weight. Its body is between 160 and 220 centimeters (63 to 86 inches) long."]
c244499a-2b59-461a-9037-d86c49f46ca2	text	Which country are both All Angels church and Cathederal of the Transfiguration?	["Canada", "\"Both All Angels church and Cathedral of the Transfiguration are in Canada.\"", "\"All Angels church and Cathedral of the Transfiguration are in Canada.\"", "\"Both All Angels church and Cathederal of the Transfiguration are located in Canada\"", "\"Both All Angels church and Cathederal of the Transfiguration are in Canada.\""]	"Canada"	1	["There was the Anglican St. Cathedral for the diocese of New Westminster until 1929 (now a parish church). The cathedral, in the Canadian city of Markham just north of St. Saviour's was the cathedral for the Diocese of Kootenay until 1987, when St. Michael and All Angels' was consecrated by the Rt. Rev'd R.E.F. Berry as the new Cathedral for Vancouver.There are 68 Roman Catholic cathedrals in Canada"]
3ceec3a2-7fc0-4f4b-9dd2-29fb083fa398	text	How many years were there between when Elfin Sports Cars was founded and when it began manufacturing cars?	["Two.", "\"There were two years between the founding of Elfin Sports Cars in 1957 and when it became a manufacturer of sports cars in 1959.\"", "\"There were two years between when Elfin Sports Cars was founded and when it began manufacturing cars.\"", "\"2 years were there between when Elfin Sports Cars was founded and when it began manufacturing cars.\"", "\"2 years were there between when Elfin Sports Cars was founded and when it began manufacturing cars\"", "\"Two years after founding, Elfin Sports Cars began manufacturing and racing.\""]	"Two years"	1	["Elf.Elfin Sports Cars Pty Ltd was founded in 1957 by Garrie Cooper. It has been an Australian manufacturer of sports cars and motor racing cars since 1959. The championship-winning brand is now owned by the estate of the late Australian racing legend Garrie Coopers. Elfin currently produces two V8-powered sports cars along with the entry-level (but still formidable) T5 Clubman."]
cfe19a3b-96d3-4e08-9a9a-f9515b63b94c	text	What word can describe a collection of tissues joined in a unit to serve a common function or a family of keyboard instruments played with hands and feet?	["Organs are body collection of tissues to serve a common function and can mean a family of keyboard instruments.", "\"Organ is the word that can describe a collection of tissues joined in a unit to serve a common function or a family of keyboard instruments played with hands and feet\"", "\"The word organ can describe a collection of tissues joined in a unit to serve a common function, or a family of keyboard instruments played with the hands and feet.\"", "\"The word \"organ\" can describe a collection of tissues joined in a unit to serve a common function or a family of keyboard instruments played with hands and feet.\"", "\"Organ can describe a collection of tissues joined in a unit to serve a common function or a family of keyboard instruments played with hands and feet.\"", "\"The word organ can describe both.\""]	"An organ"	1	["ThisThis disambiguation page lists articles associated with the title of articles in the Simple English Wiktionary has the following 22 subcategories for organ. Organ (music), a family of keyboard instruments which is usually played with both the hands and the feet. In biology, an organ is a collection of tissues joined in a structural unit to serve a common function. This category has been defined for organ"]
46718b59-17c2-4aea-9541-998fe010ecd8	text	Would stop sounds like /p/, /t/, and /k/ be included in Sanskrit, Hindustani and all other Indic languages?	["Yes", "\"Yes, they would be included.\"", "\"Yes, stop sounds like /p/, /t/, and /k/ be included in Sanskrit, Hindustani and all other Indic languages.\"", "\"Yes, they would be included in these languages.\"", "\"Yes, Sanskrit, Hindustani and all other Indic languages have an entire set of dental stops.\""]	"Yes"	1	["StStops.Stops or plosives are consonant sounds that are formed by completely stopping airflow. Stop sounds can be voiceless, like the sounds /p/, /t/, and /k/, or voiced, like /b/, /d/. Sanskrit, Hindustani and all other Indic languages have an entire set of dental stops that occur phonemically as voiced and voiceless and with or without aspiration. The nasal /n/ also exists but is quite alve"]
c1ed5b8b-c57f-4af5-b262-fe58dbe871ea	text	What type of sound is both the voiceless alveolo-palatal sibilant fricative and the voiceless labiodental fricative?	["They are both consonantal sounds.", "\"Both the voiceless alveolo-palatal sibilant fricative and the voiceless labiodental fricative are consonantal sounds.\"", "\"The  voiceless alveolo-palatal sibilant fricative and the voiceless labiodental fricative are both consonantal sounds\"", "\"A consonantal sound is both the voiceless alveolo-palatal sibilant fricative and the voiceless labiodental fricative.\"", "\"Both the voiceless alveolo-palatal sibilant fricative and the voiceless labiodental fricative are types of consonantal sound.\""]	"consonantal"	1	["\"\"The voiceless labiodental fricative is a type of consonantal sound, used in a number of spoken languages. The symbol in the International Phonetic Alphabet that represents this sound is \u27e8 f"]
3d0a0cb5-5879-47d5-9b07-b825f1563b63	text	What is a defining characteristic of tongue positioning for the one Russian allophonic vowel triplet that is not contrastive?	["The tongue is positioned similarly to a close vowel, but slightly less constricted.", "\"The defining characteristic of the tongue positioning for one Russian allophonic vowel triplet that is not contrastive is that the tongue is positioned similarly to a vowel, but not quite as constricted.\"", "\"The defining characteristic is the tongue is positioned similarly to a close vowel, but slightly less constricted.\"", "\"The defining characteristic of a near-close vowel is that the tongue is positioned similarly to a close vowel, but slightly less constricted for the one Russian allophonic vowel triplet that is not contrastive\""]	"The tongue is positioned similarly to a close vowel, but slightly less constricted."	1	["The[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14] [15] [16] [17] [18] [19] [20] [21] [22] [23] [24] [25] [26] [27] [28] [29] [30] [31] [32] ["]
43170cf1-1f09-4a1c-97f6-a2081da38b54	text	Which had more tails; Vampires or Yamata no Orochi?	["Yamata no Orochi", "\"Yamata no Orochi have more tails than vampires do.\"", "\"Yamata no Orochi had more tails than vampires.\"", "\"Yamata no Orochi has more tails than vampires.\"", "\"Yamata no Orochi had more tails.\""]	"Yamata no Orochi"	1	["YYamata no Orochi is a legendary eight-headed and eight-tailed Japanese dragon / serpent. Yamata no Orogi legends are originally recorded in two ancient texts about Japanese mythology and history. In"]
00f1b50b-5bf4-4c9b-bed0-bd877f10e0eb	text	Which being has more power to create more of their sort more easily; Yamata No Orochi or Vampires?	["Vampires", "\"Vampires have more power to create more of their sort more easily.\"", "\"Vampires can create other vampires biting a living person so, presumably, can create others of their sort more easily.\"", "\"In the folklore of vampires they can be created by a malevolent spirit possessing a corpse or a living person being bitten by a vampire themselves; Yamata no Orochi have no similar reproductive means in their mythos.\"", "\"Vampires have more power to create more of their sort more easily than Yamata No Orochi\""]	"Vampires"	1	["In. Yamata no Orochi (\u30e4\u30de\u30bf\u30ce\u30aa\u30ed\u30c1, also \u516b\u5c90\u5927\u86c7, \u516d no Orochichi, also \u616b no oochi, also \u5927 no ochchi, also \u4e8c no ochi, \u516c no ochu, also \u86c7 ) are Japanese legends of vampires. Belief in such legends became so rife that in some areas it caused mass hysteria and even public executions"]
10083d57-04df-4b2d-9059-0dfcb42f593d	text	Which helps make up the other more; Meter or Iambic foot?	["Iambic foot is a sub part of a meter, the meter is the overall patterns in a verse, foot helps make that up.", "\"Iambic foot can make up meter more than meter can make up iambic foot.\"", "\"Meter makes up lambic foot more than lambic foot makes up meter.\"", "\"An Iambic foot helps make up a Meter more than a meter helps make up an Iambic foot.\"", "\"An iambic foot helps to make up a meter in poetry.\""]	"An iambic foot"	1	["InIn the English language, the rhythm of an iambic foot is an arrangement of the syllable of a syllable in a line of a foot is a foot in a rhyme in a verse is a rhythm in a metre.In poetry, meter ( British English spelling: metre) means the rhythmic patterns in a poem"]
20773b0f-fbcc-4751-b63d-a3eb68124fc3	text	In poetry which has greater numbers of syllables One Trochaic tetrameter or one Dactylic tetrameter?	["Dactylic tetrameter has an extra stressed syllable per foot.", "\"The dactylic tetrameter has greater numbers of syllables than the trochaic tetrameter.\"", "\"One dactylic tetrameter has greater numbers of syllables than one trochaic tetrameter.\"", "\"A Dactylic tetrameter has more syllables than a Trochaic tetrameter does.\"", "\"There are more syllables in a dactylic tetrameter.\"", "\"In poetry, a dactylic tetrameter has more syllables than a trochaic tetrameter.\""]	"Trochaic tetrameter"	1	["\"Trochaic tetrameter\" is a meter in poetry. It refers to a line consisting of four trochaic feet. The word \"\"tetrameter\"\" simply means that the poem has four trochees. Dactylic tetrameters is a metre in poetry"]
d1edfe45-749d-4133-b597-cb91bfb76cce	text	What type of mythological creature was Ammit and the one whose name may come from the Latin word 'vinea'?	["Demons.", "\"Ammit was a demon.\"", "\"It says that Ammit is a female demon who was part lion, hippopotamus and crocodile The demon whose name may come from the Latin word vinea is portrayed as a lion. Therefore they are both part lion.\"", "\"Both the ammit and the creature whose name may come from the Latin word 'vinea' were demons.\""]	"a demon"	1	["Am. Amphisbaena ( Greek) - Serpent with a head at each end. Amphiptere ( Heraldic) - Winged serpent. Amor\u014dnagu ( Japanese) - Tennyo from the island of Amami \u014cshima.Ammit ( Ancient Egyptian) - Female demon who was part lion, hippopotamus and crocodile and devoured the souls of the wicked. This demon is portrayed as a lion holding a snake in his hand and riding a black horse"]
f5aa5819-a95b-41b8-962e-84b883f04dbb	text	Which spirit is more likely to be seen as a sort of shade or dark entity, unfocused; Morgen or Ankou?	["Ankou", "\"Ankou is more likely to be seen as a sort of shade or dark entity\"", "\"Ankou is more likely to be seen as a sort of shade or dark entity, unfocused, than Morgen is.\"", "\"Ankou is more likely to be seen as a sort of shade or dark entity.\"", "\"Ankou is more likely to be seen as a sort of shade or dark entity, unfocused.\"", "\"The Ankou spirit is more likely to be seen as a shade or dark entity.\""]	"Ankou"	1	["\"\"Morgens\" are Welsh and Breton water spirits that drown men. Ankou ( Breton: / \u0251\u02d0nku\u02d0 / an Anko\u00f9) is a servant of death in Breton, Cornish ("]
039c8aa0-4d2d-4ac4-80ac-25b12979281e	text	Monopods and noppera-bō are both types of what?	["Mythical creatures", "\"Monopods and noppera-b\u014d are both types of mythological creatures.\"", "\"They are both types of creatures.\"", "\"It says that Monopods are mythological dwarf-like creatures and that noppera-bo are Japanese faceless ghosts. The answer is mythological or fantastic creatures.\"", "\"Monopods and noppera-b\u014d are both types of mythological  creatures\""]	"creatures"	1	["\"\"Attributed to the \"\"Ma\u00eetre du Prince de Pi\u00e9mont\" and the \"\"Monsignor de la Ville de Ville\""]
d1a200de-a16c-4bba-8300-074262a3007d	text	What book is the same number position in the pentalogy " "The Secret Series " as Bosh was years old when he started learning to dribble a basketball?	["This Isn't What It Looks Like", "\"This Isn't What It Looks Like is the fourth book in The Secret Series, and Bosh was four years old when he started learning to dribble a basketball.\"", "\"This Isn't What It Looks Like is the same number position in the pentalogy \" \"The Secret Series \" as Bosh was years old when he started learning to dribble a basketball.\"", "\"\"This Isn't What It Looks Like\" is the same number position in the pentalogy \"The Secret Series\" as the age of Bosh when he started learning to dribble a basketball.\"", "\"This Isn't What It Looks Like is the same number in the pentalogy \" \"The Secret Series \" as Bosh's age when he started learning to dribble a basketball.\"", "\"\"This isn't What it Looks Like\" is the fourth book in the pentalogy \"The Secret Series\" which is the amount of years old that Bosh was when he started to learn to dribble a basketball.\""]	"This Isn't What It Looks Like"	1	["\" is the fourth book in the pentalogy \"\" The Secret Series \"\", and is the sequel to This Book Is Not Good for You, If You're Reading This, It's Too Late, and The Name of this Book is Secret.\"This Isn't What It Looks Like is a book by anonymous author Pseudonymous Bosch. Born to Noel and Freida Bosh in Dallas, Texas, Bosh was raised in Hutchins, a suburb of the city. A family-oriented"]
ec289370-7d68-4dd6-86f5-258590141abd	text	How would Fortuna, a Roman god, have influenced the lives of Romulus and Remus as they argued over where the exact position of Rome should be?	["She was the goddess of fortune, luck, and fate, and could have bestowed either good or bad luck onto them.", "\"Fortuna, a Roman god, would have influenced the lives of Romulus and Remus as they argued over where the exact position of Rome should be by bestowing good or bad luck onto people.\"", "\"Fortuna, a Roman god, would have influenced the lives of Romulus and Remus as they argued over where the exact position of Rome should be by bestowing good or bad luck onto them.\""]	"Fortuna could bestow good or bad luck"	1	["Pl.Plato notes that hepatoscopy held greater prestige than augury by means of birds. Fortuna was the goddess of fortune, luck, luck and fate in Roman mythology. One of the most famous auspices is the one which is connected with the founding of Rome. Once the founders of Rome, Romulus and Remus, arrived at the Palatine Hill, the two argued over where the exact position of the city should be. The gods agreed on the location of"]
66928a14-42da-4c5e-b4ab-122dd6490233	text	Which has more variety in the creatures it is made up of: Nue or Shojo?	["Nue has more variety.", "\"The Nue is made up of more creatures than the Shojo.\"", "\"The Nue is made up of parts of more creatures than the sh\u014dj\u014d.\"", "\"The Nue has more variety of creatures that it is made up of than the Shojo.\"", "\"The Nue has more variety in the creatures it is made up of.\""]	"Nue"	1	["AA sh\u014dj\u014d is a kind of Japanese sea spirit with a red face and hair and a fondness for alcohol. The legend is the subject of a Noh play of the same name. The Nue (\u9d7a, \u9d7c, \u6060\u9ce5) is a legendary y\u014d"]
eaf809f5-759c-4ffa-9b07-f1a7283a451b	text	What animal has both the deity Makara and dragons in Chinese culture been been depicted as?	["They have both been depicted as fish.", "\"Both have been depicted as fish.\"", "\"Both the deity Makara and dragons in Chinese culture been been depicted as fish\"", "\"Both the deity Makara and dragons in Chinese culture have been depicted as fish.\"", "\"Makara and the dragons in Chinese culture have been depicted as fish.\""]	"fish"	1	["\"\"A Chinese dragon is a mythical creature in Chinese mythology. Chinese dragons have many animal-like forms such as turtles and fish, but are most commonly depicted as snake -like with four legs. During the Vedic times when Indra was the God of heaven, Varuna (the God of the seas and rode on makara, which was called \"\""]
07dc96c4-7172-4fbe-834e-0fd45dd3d692	text	In Western traditions, would dragons and the kraken be expected to treat humans similarly?	["Yes", "\"Yes, both dragons and kraken are portrayed as evil in Western traditions.\"", "\"Yes, in Western tradition dragons and the kraken be expected to treat humans similarly.\""]	"Yes"	1	["TheThe kraken is a legendary sea monster of gigantic size and cephalopod -like appearance in Scandinavian folklore. In Western folklore, dragon-like creatures and dragons in Christian literature are usually portrayed as evil"]
632b332c-3110-4447-92d0-a78c4773bcd7	text	What 2004 record holder may have inspired the German fairy tale "Rapunzel" if she was alive in 1812?	["Xie Qiuping", "\"Xie Qiuping could have inspired the story.\"", "\"Xie Qiuping held the record for the longest documented hair in the world.\"", "\"Xie Qiuping had the longest documented hair in the world, measuring 5.627 metres (18 ft 5.54 in) in May 2004, Rapunzel also had long hair.\"", "\"That record holder is Xie Qiuping.\"", "\"Xie Qiuping, she had the longest documented hair in the world, measuring 5.627 meters in 2004, and she might've inspired the German fairy tale \"Rapunzel,\" if she was alive in 1812.\""]	"Xie Qiuping"	1	["\"\"\" Rapunzel \"\" is a German fairy tale. It was first published in 1812. The best known line in the story is \"\"Rapunzel, let down your hair\"\". The story starts with a lonely couple that wants a child.[1] The story ends with a child that wants to be married.[2]The story is a variation of Grimms' Fairy Tales. Lengths greater than 150 centimetres (59 in) are frequently observed in long hair contests."]
