Guid	Qcate	Q	A	Keywords_A	1	Output
ac2c7a16-7e39-4a84-a8ed-c28ae9e2dfa5	text	What percentage of the city where the Steve Hoyle Rehabilitation Center is located is African American?	"The city is nearly 77 percent African American. ""Tallulah, the home of the Steve Hoyle Rehabilitation Center, is 77 percent African American."" ""Seventy-seven percent of the city where the Steve Hoyle Rehabilitation Center is located is African American."" ""77% of Tallulah is African-American."" ""77 percent of Tallulah Louisiana is African American."" ""Nearly 77% of the percentage of the city where the Steve Hoyle Rehabilitation Center is located is African American."	"""77 percent"""	1	Tallulah is the principal city of Madison Parish, which includes all of Tallulah.
048cd0f5-3ea6-4e87-9a48-49fb6c4e27dc	text	What is any form of stiff jewellery worn as an ornament around the neck of an individual, as opposed to a loose necklace that is worn in a few African and Asian cultures usually to create the appearance that the neck has been stretched?	"Neck Rings ""Neck rings are any form of stiff jewellery worn as an ornament around the neck of an individual, as opposed to a loose necklace."" ""Neck rings are any form of stiff jewelry worn as an ornament around the neck of an individual in a few African and Asian cultures usually to create the appearance that the neck has been stretched."" ""Neck rings are any form of stiff jewellery worn as an ornament around the neck of an individual."" ""Neck rings are worn as an ornament around the neck of an individual, as opposed to a loose necklace that is worn in a few African and Asian cultures usually to create the appearance that the neck has been stretched."" ""Neck rings are any form of stiff jewelry worn as an ornament around the neck of an individual, as opposed to a loose necklace that is worn in a few African and Asian cultures usually to create the appearance that the neck has been stretched."	"""Neck rings"""	1	The custom of wearing neck rings is related to an ideal of beauty: an elongated neck.
323a409b-64d7-4747-93fa-3f945c8584a7	text	To which culture are Furigana and Shinjitai associated with?	"Japanese ""Furigana and Shinjitai are associated with Japanese."" ""Furigana and Shinjitai are associated with Japanese culture"" ""Furigana and Shinjitai are associated with Japanese culture."	"""Japanese"""	1	Furigana
2a557dfe-4ac5-4275-b66d-03f54268e80a	text	How did Buddha set the dharmachakra in motion?	"By delivering his first sermor ""When he delivered his first sermon Buddha set the dharmachakra in motion"" ""Buddha set the dharmachakra in motion when he delivered his first sermon."" ""By delivering his first sermon, the Buddha set the dharmachakra in motion."" ""The Buddha is said to have set the ""wheel of dharma"" in motion when he delivered his first sermon."" ""He set it in motion when he delivered his first sermon, which is described in the Dhammacakkappavattana Sutta."	"""through his first sermon"""	1	The dharmachakra ( Sanskrit; Pali: dhammacakka) or wheel of dharma is a widespread symbol used in Indian religions such as Jainism, Hinduism and especially Buddhism.
f623a45c-ae83-4ab3-9e57-140579ba1b17	text	What show has a superhero from the Sixth Dimension and a member of the authoritarian organization known as the Lightning Knights that the children's television series that is co-produced by the BBC is named for?	"Ace Lightning ""Ace Lightning is a BBC children's television series."" ""The children's television series co-produced by the BBC is named after the superhero character Ace Lightning."" ""The show Ace Lightning is a children's television series co-produced by the BBC and Alliance Atlantis."" ""The show Ace Lightning has a superhero from the Sixth Dimension and a member of the authoritarian organization known as the Lightning Knights that the children's television series that is co-produced by the BBC is named for."" ""Ace Lighting has a superhero from the Sixth Dimension and a member of the authoritarian organization known as the Lightning Knights that the children's television series co-produced by the BBC."	"""Ace Lightning"""	1	Ace Lightning is a children's television series co-produced by the BBC and Alliance Atlantis.
93f13ae8-aa54-4cf1-b3b1-c96081875d4f	text	Natural and thermal are both types of what in liquids?	"Convection. ""Natural and thermal are both types of flow in liquids"" ""Natural and thermal are both types of convection in liquids"" ""Natural and thermal are both types of convection in liquids."" ""They are both convections."" ""Natural and thermal are both types of convection."	"""convection"""	1	Natural convection is a type of flow, of motion of a liquid such as water or a gas such as air.
7309910f-1fd8-4cc1-9683-b28cf0440fd7	text	Bremen is the fourth largest city in the area of what dialect most closely related to Frisian and English?	"Low German ""Bremen is the fourth largest city in the Low German dialect area."" ""Bremen is the fourth largest city in Low German dialect area which is closely related to Frisian and English."" ""Bremen is the fourth largest city in the Low German dialect area after Hamburg, Dortmund and Essen."" ""Bremen is the fourth largest city in the area of Low German most closely related to Frisian and English."" ""Bremen is the fourth largest city in the area of Low German dialect most closely related to Frisian and English"	"""Low German"""	1	Bremen is the fourth largest city in the Low German dialect area.
6813c7fd-9b89-473c-a9f8-aa296af7c601	text	The instrument that takes the French word for horn is usually considered what member of the oboe family?	"The cor anglais is generally regarded as the alto member of the family. ""The instrument that takes the French word for horn is usually considered a soprano instrument of the oboe family,"" ""The instrument that takes it's name from the French word for horn is usually considered the alto member of the oboe family."" ""The instrument that takes the French word for horn is usually considered an alto member of the oboe family."" ""The term cor anglais is French for English horn, and is usually considered the alto member of the oboe family."" ""Cor anglais or the English horn is usually considered the alto member of the family,."	"""alto"""	1	The cor anglais is French for English horn, but the instrument is neither from England nor related to the various conical-bore brass instruments called ""horns"", such as the French horn, the natural horn, or the tenor horn
2809786b-118b-4424-87f9-4b0f7a4cb528	text	Batcombe, Somerset is in the valley of a river that was known by what name in Roman times?	"Batcombe, Somerset is in the valley of the River Alham, which was known as the Alauna by the Romans. ""Batcombe, Somerset is in the valley of a river that was known by Alauna in Roman times."" ""Batcombe, Somerset is in the valley of the River Alham, which was known as the Alauna in Roman times."" ""Batcombe, Somerset is in the valley of the River Alham, which was known as Alauna in Roman times."" ""Batcombe, Somerset is in the valley of a river that was known as the Alauna in Roman times."	"""Alauna"""	1	Batcombe is a village in Somerset, England.
c358d38c-9ee6-475d-a8d1-979985bae350	text	How old was Zadeh when he published an academic paper on fuzzy logic?	"44 ""Zadeh was 44 when he published an academic paper on fuzzy logic"" ""Zadeh was forty-four when he published an academic paper on fuzzy logic."" ""Zadeh was 44 years old."" ""Zadeh was 44 when he published an academic paper on fuzzy logic."" ""Zadeh was 44 years old when he published an academic paper on fuzzy logic."	"""44 years"""	1	Mr. Lotfi Zadeh died on September 6, 2017. He was 96.
a51202c9-4dc9-49f6-aef1-879ea8f0f44f	text	When was the first record of Gyps fulvus in the British Isles?	"The first record of a Griffon Vulture in the British Isles occurred in 1843 in Cork. ""The griffon vulture was first recorded in the British Isles in 1843."" ""The first record of Gyps fulvus in the British Isles was in 1843."" ""Griffon Vulture was first recorded in 1843, and it was in Cork."" ""The first record of Gyps fulvus in the British Isles occurred in 1843."" ""The first record of the griffon vulture occurred in 1843 in Cork."	"""1843"""	1	Gyps fulvus is a large Old World vulture in the bird of prey family Accipitridae.
6a17173c-9322-4956-8f21-dcb7bb2a9ed4	text	The Western Aramaic languages represent a specific group of a language whose dialects are grouped into how many groups?	"2 ""They are grouped into two groups."" ""The Western Aramaic languages represent a specific group of a language whose dialects are grouped into two groups."" ""The different dialects of Aramaic are grouped into two groups, an eastern group and a western group."	"""two"""	1	Aramaic is not one language without any changes. There are many different types of Aramaic languages.
fd6f0b47-d30e-4051-a479-3b51a22f9416	text	What is a synonym of the word that describes the scientific study of recovering and identifying plant remains from geological contexts?	"paleophytology ""A synonym for the word that describes the scientific study of recovering and identifying plant remains from geological contexts is paleophytology."" ""A synonym of paleobotany is paleophytology."" ""Paleophytology is a synonym for Paleobotany."" ""A synonym of the word that describes the scientific study of recovering and identifying plant remains from geological contexts is paleophytology."	"""Paleophytology"""	1	Plants
14d58d5d-42bc-4fbd-92d8-e34dc7eb932f	text	What does rail transportation in the United States consist of and which country has the largest rail transport network size of any country in the world?	"Rail transportation in the United Statesconsists primarily of freight shipments, with a well integrated network of standard gauge private freight railroads extending into Canada and Mexico. The United States has the largest rail transport network size of any country in the world. ""Rail transportation in the United States consists primarily of freight shipments, with a well integrated network of standard gauge private freight railroads and United States has the largest rail transport system in the world."" ""Rail transportation in the United States consists primarily of freight shipments. The United States has the largest rail transport network size of any country in the world."" ""Rail transportation in the United States mostly consists of freight shipments; the United States has the largest rail transport network size of any country in the world."" ""Rail transportation in the United States consists primarily of freight shipments. The US has the largest rail transport network size in the world."" ""The United States has the largest rail transport network size of any country in the world, and it's mostly used for freight shipments."	"""Freight shipments"""	1	Freight shipments
4d62a2a5-956f-49ee-a7f5-569232431db3	text	According to what, the foundation of which is the notion of bandhu of the Vedas(scriptures), which is the connection between the microcosm and the macrocosm, life on earth is influenced by the navagrahas, or nine influencers?	"Hindu astrology ""This is according to Hindu astrology."" ""The foundation of Hindu astrology is the notion of bandhu of the Vedas."" ""According to Hindu astrology, the foundation of which is the notion of bandhu of the Vedas(scriptures), which is the connection between the microcosm and the macrocosm, life on earth is influenced by the navagrahas, or nine influencers."" ""According to Hindu astrology, life on earth is influenced by the navagrahas, or nine influencers."	"""Hindu astrology"""	1	The foundation of Hindu astrology is the notion of bandhuof the Vedas.
6ed9c94a-0b79-4d90-9c61-ee9fd62802f5	text	Which of the Three Treasures is usually translated as reverence?	"Jing is usually translated in this way. ""Jing is usually translated as reverance."" ""Jing is usually translated as reverence."" ""Jing of the Three Treasures is usually translated as reverence."" """"Jing"" of the Three Treasures is usually translated as reverence."" ""Jing is one of the Three Treasures that is usually translated as reverence."	"""Jing"""	1	Jing is a concept in Chinese philosophy. Despeux summarizes.
4020d665-b2a3-477d-a773-e643eff2bb02	text	What flat-topped, steep-sided volcano formed when lava erupts through a thick glacier or ice sheet was the first of its kind to be analyzed in the geological literature?	"Tuya Butte was the first tuya analyzed in the geological literature. ""The Tuya Butte was the first tuya to be analyzed in the geological literature."" ""A tuya is a flat-topped, steep-sided volcano formed when lava erupts through a thick glacier or ice sheet was the first of its kind to be analyzed in the geological literature."" ""The Tuya Butte was the first flat-topped, steep-sided volcano that was formed when lava erupted through a thick glacier or ice sheet to be analyzed in the geological literature."" ""Tuya Butte was the first tuya analyzed in the geological literature."" ""Tuya Butte was the first of its kind to be analyzed in the geological literature."	"""A tuya"""	1	A tuya.
26b05d87-0fe6-4a0a-8b66-82f7e8ad9719	text	In the Scriptures, kings are called what, who has 99 names in the Quran?	"Gods ""In the Scriptures kings are called gods and in the Quran God have 99 names."" ""In the Scriptures, kings are called gods, and so their power after a certain relation compared to the Divine power."" ""In the Scriptures, kings are called gods."" ""In the Scriptures, kings are called Gods."	"""God"""	1	The 99 Names of God
339b342c-32c9-46bb-840e-9fbd29e696a7	text	An α,β-unsaturated carbonyl compound is part of what group?	"Acrylic ""An α,β-unsaturated carbonyl compound is part of an acrylic group"" ""An α,β-unsaturated carbonyl compound is part of the acrylic group."" ""An α,β-unsaturated carbonyl compound is part of an acrylic group."" ""It is a part of the acrylic compound group."	"""acrylic"""	1	Acryl
55ca197d-b15e-48d1-9f57-173e3b80e06a	text	The legislative council of the Western Victoria Region begins with what same two letters as the state Richmond International Airport Air National Guard Station is in?	"The letters VI ""They both begin with VA"" ""The legislative council of the Western Victoria Region begins with the same two letters ""VA"" as the state Richmond International Airport Air National Guard Station is in, which is Virginia."" ""The Victorian Legislative Assembly begins with ""Vi"", which is the first two letters of ""Virginia"", the state  Richmond International Airport Air National Guard Station is in."" ""The legislative council of the Western Victoria Region begins with the letters VI."" ""VI are the letters in common."	"""Vi"""	1	Portland is in the Victorian Legislative Assembly electoral district of South West Coast.
e17382a6-e033-4268-8def-dcaa5808cf5b	text	ORY and TTN are both what?	"IATA airport codes. ""ORY and TTN are both three-letter designations for airports."" ""ORY and TTN are codes for airports."" ""ORY and TTN are both airport codes."	"""Airport codes"""	1	Trenton–Mercer Airport is a county-owned, joint civil–military, public airport located in Trenton, NJ.
fadbea7f-929e-41b1-8bd8-cc209e3660c1	text	How many years were between the emergence of the Funnelbeaker culture and the absorption of Pitted Ware culture into Battle Axe Culture?	"There were 1800 years between the two events. ""1,800 years were between the emergence of the Funnelbeaker culture and the absorption of Pitted Ware culture into Battle Axe Culture."" ""It says that by 2,300 BC, the Pitted Ware culture had been absorbed by the Battle Axe cultureand that  The Funnelbeaker culture emerged in northern modern-day Germany c. 4100 BC. If we subtract 2300 from 4100 we get 1800. Therefore the answer is 1800 years."" ""There were about 1300 years between the emergence of the Funnelbeaker culture and the absorption of Pitted Ware culture into Battle Axe Culture."" ""There were 1300 between the emergence of the Funnelbeaker culture and the absorption of Pitted Ware culture into Battle Axe Culture."" ""There were about 1300 years between them."	"""1800 years"""	1	From about 2,800 BC to 2,300 BC, the Pitted Ware culture co-existed with the Battle Axe culture.
dbadb3d8-9f2e-402d-9dd1-aa1eb1ab5136	text	Mauban and Lake Baao are both found in what country?	"Philippines ""It says that Lake Baao is a shallow freshwater lake located in Baao, Camarines Sur in the Bicol Region of Luzon in the Philippines. And Mauban is a 1st class municipality in the province of Quezon, Philippines. Therefore the answer is Philippines."" ""Mauban and Lake Baao are both found in the Philippines."" ""They are both in the Philippines."	"""the Philippines"""	1	/ 13.46889; 123.31000
d0242fe8-dbd3-4bf6-8827-dfaf183d10e5	text	Would Louisiana Highway 2 Alternate and Louisiana Highway 17 run parallel or perpendicular to one another?	"They would be perpendicular. ""Louisiana Highway 2 Alternate runs in an east-west direction which would be perpendicular to Louisiana Hoghway 17 which runs in a north=south direction."" ""Louisiana Highway 2 Alternate and Louisiana Highway 17 run perpendicular to one another."" ""They'd run perpendicular to each other."" ""Louisiana Highway 2 Alternate and Louisiana Highway 17 would run perpendicular to one another."	"""perpendicular"""	1	Louisiana Highway 2 Alternate ( LA 2 Alt.) is a state highway located in northern Louisiana. It runs 66.53 miles (107.07 km) in a north–south direction from the junction of U.S. Highway 2 with Louisiana Highway 17.
5549d143-d817-4a15-956a-dc5b67e04474	text	The state trunkline highway called M-11 is found in what state with the county seat of Itasca County called Grand Rapids?	"Michigan. ""The M-11 highway is located with Michigan."" ""The state trunkline highway called M-11 is found in Michigan."	"""Michigan"""	1	M-11
6ab10932-98a7-4a8a-8ecb-59c2e2ab91a2	text	What is the name of the group of cells that provide only 3-5% of the total salivary volume, and in an overall sense synthesizes substances?	"The glands. ""Sublingual glands is the name of the group of cells that provide only 3-5% of the total salivary volume, and in an overall sense synthesizes substances."" ""The paired sublingual glands is the name of the group of cells that provide only 3-5% of the total salivary volume, and in an overall sense synthesizes substances."" ""The paired sublingual glands are the group of cells that provide only 3-5% of the total salivary volume, and in an overall sense synthesizes substances."" ""Glands are a group of cells that synthesize substances and can provide 3-5% of the total salivary volume."" ""The group of cells is named sublingual glands."	"""Sublingual glands"""	1	Glands
153c2111-b0a1-41f8-b950-e6eed9726ec5	text	How culturally advanced was the region that gave the ancient Greeks the musical invention with two pipes named the aulos?	"Phrygia had an advanced Bronze Age culture. ""Phrygia developed an advanced Bronze Age culture."" ""Phrygia had an advanced Bronze Age culture."" ""The region that gave the ancient Greeks the musical invention with two pipes named the aulos was advanced in the Bronze Age."	"""Advanced Bronze"""	1	Phrygia developed an advanced Bronze Age culture.
0d85d0f3-f310-4757-bfa6-43683f5e2c01	text	Why are historians especially interested in studying the Tagalog people whose culture was later influenced by trading relations with the rest of Maritime Southeast Asia?	"They are especially interested because this culture made one of the oldest historically documented settlements in the Philippines. ""Tondo is of particular interest to Filipino historians."" ""Historians are especially interested in studying the Tagalog people whose culture was later influenced by trading relations with the rest of Maritime Southeast Asia because it is one of the oldest historically documented settlements."" ""Tondo is of particular interest to Filipino historians and historiographers because it is one of the oldest historically documented settlements in the Philippines."" ""Historians are especially interested in studying the Tagalog people whose culture was later influenced by trading relations with the rest of Maritime Southeast Asia because it is one of the oldest historically documented settlements in the Philippines."" ""The Tagalog people of Tondo are of particular interest to Filipino historians and historiographers because they are in one of the oldest historically documented settlements in the Philippines"	"""it is one of the oldest historically documented settlements in the Philippines"""	1	Tondo is one of the oldest historically documented settlements in the Philippines.
2ea1794e-896f-4f25-b795-7b3e5c09a3b1	text	Watson and Crick soon produced their double helix model of a thing that has how many nucelotide bases?	"4 ""Watson and Crick soon produced a double helix model of human DNA."" ""Watson and Crick soon produced their double helix model of a DNA model that has four nucelotide bases."" ""DNA has four nucleotide bases."" ""Seeing as Watson and Crick produced a double helix model of DNA, and DNA has four nucleotide bases, the answer is four."" ""atson and Crick soon produced their double helix model of DNA"	"""Four"""	1	Nucleobases
d4a59ec5-d16a-40d0-ac77-50a9d92e5d4e	text	The largest territory in the USSR can commonly be divided into what two parts?	"A European and an Asian part ""The Russian Soviet Federative Socialist Republic can be divided into a European and an Asian part."" ""The largest territory in the USSR can commonly be divided into a European and an Asian part,"" ""The largest territory in the USSR can commonly be divided into a European and Asian part."" ""The largest territory in the USSR can commonly be divided into a European and an Asian part."" ""Russia can be divided into a European and an Asian part."	"""European and Asian"""	1	A European and an Asian part
79c98a85-461a-4843-9c1c-1f3648bf0a64	text	The Kalmyks of southern Russia, lying north of the North Caucasus might live where in the US?	"The Kalmyks have also established communities in the United States, primarily in Pennsylvania and New Jersey. ""They might live in Pennsylvania and New Jersey."" ""The Kalmyks of southern Russia primarily live in Pennsylvania and New Jersey."" ""The Kalmyks of Southern Russia, lying north of the North Caucasus, might live in Pennsylvania and New Jersey."" ""They might live in Pennsylvania or New Jersey."" ""The Kalmyks of southern Russia, lying north of the North Caucasus, emigrated and established communities in the United States, primarily in Pennsylvania and New Jersey."	"""Pennsylvania and New Jersey"""	1	The republic is home to the Kalmyks, a people of Mongol origin who are primarily of Buddhist faith
9e48d032-ebca-4116-9bdf-41176ae6ee19	text	Limestones, mudstones, and bone beds all contain what?	"Phosphate. ""They all contain phosphorite."" ""Limestones, mudstones, and bone beds all contain phosphate"" ""Limestones, mudstones, and bone beds all contain phosphate deposits."" ""Limestones, mudstones, and bone beds all contain phosphate."	"""phosphate"""	1	Bioclastic phosphates or bone beds
c964384e-a4eb-46dc-b9a2-f2cb462174b3	text	What is the process of converting text written in the Cyrillic script that have roman and italic types into the Latin alphabetic script?	"Romanization. ""The romanization of Cyrillic is the process of converting text written in the Cyrillic script that have roman and italic types into the Latin alphabetic script."" ""Romanization is the process of converting text written in the Cyrillic script that have roman and italic types into the Latin alphabetic script."" ""The process of converting text written in the Cyrillic script into Latin script is called ""romanization""."" ""This process is called romanization."	"""romanization of Cyrillic"""	1	Cyrillic.
119f6d2b-4819-4ca1-b75e-571a2d3c9d2b	text	What is the meaning of the label on the ships named aftger Hang Lekiu and Jang Jebat in the RMN?	"His Majesty's Ship """"KD"" is equivalent to ""His Majesty's Ship"" in English on the ships named after Hang Lekiu and Jang Jebat."" ""All RMN ships carry the prefix KD (Malay : Kapal Di-Raja, literally ""Royal Ship""), which is equivalent to ""His Majesty's Ship"" in English."" ""The label on the two ships in the RMN mean ""His Majesty's Ship""."" ""The Jebat and Lekiu vessels are both prefixed with KD, whose meaning translates to Royal Ship."" ""The meaning of the KD label on the ships named after Hang Lekiu and Jang Jebat in the RMN is Royal Ship."	"""Royal Ship"""	1	The KD Jebat and KD Lekiu are part of the RMN class.
d8300259-1f21-4ba3-8d7d-d5f0d6fcd5d2	text	Is Prince-bishop a priest in catholic church?	"Yes he is. ""They could be, since bishops are Catholic."" ""Prince-bishop is a priest in the Catholic Church."" ""Yes, Prince-bishop is a priest in catholic church."" ""Yes, a prince-bishop is a bishop and bishops are ordained priests within the Catholic Church."" ""No, a Prince-bishop is a bishop in the catholic church"	"""Yes"""	1	No, the priesthood is one of the three holy orders of the Catholic Church.
e04b3d47-262c-431f-85dd-7d4b9b20a758	text	The scribbled pipefish and messmate pipefish belong to what family?	"Syngnathidae ""The scribbled pipefish and messmate pipefish are species of marine fish in the family Syngnathidae."" ""The scribbled pipefish and messmate pipefish belong to Syngnathidae."" ""The scribbled pipefish and messmate pipefish belong to the family Syngnathidae."	"""Syngnathidae"""	1	Corythoichthys intestinalis
